epoch_id,timestamp,break_v,break_E_eV,n_points,PA_bins,status,features,cone_half_width_deg,input_file,break_index,error_message
83,2022-03-02 13:28:09,428723795.65500325,52.25566425656141,5198,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4092.0,
84,2022-03-02 13:29:09,437492039.9415154,54.41498399425795,5220,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4198.0,
85,2022-03-02 13:30:09,439377445.23563117,54.88500565632727,5247,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4202.0,
86,2022-03-02 13:31:09,437626656.4726089,54.44847618471259,5277,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4200.0,
87,2022-03-02 13:32:09,439216568.6086071,54.844821080654434,5276,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4187.0,
88,2022-03-02 13:33:09,437902048.8581543,54.51702508821749,5259,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4167.0,
89,2022-03-02 13:34:09,439264153.0183529,54.856705421979214,5324,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4218.0,
90,2022-03-02 13:35:09,433761284.19264114,53.49088295291722,5110,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,3929.0,
91,2022-03-02 13:36:09,436302215.32060367,54.119407202253655,5484,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4235.0,
92,2022-03-02 13:37:09,439875896.8916196,55.009604859690306,5587,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4274.0,
93,2022-03-02 13:38:09,436289350.50820166,54.11621571831475,5382,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,3984.0,
94,2022-03-02 13:39:09,441115976.2391746,55.32020351531665,5436,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4099.0,
